UF;Nome_Município;COD IBGE;COD IBGE Completo;CATEGORIA
AC;Acrelândia;13;1200013;2
AC;Assis Brasil;54;1200054;1
AC;Brasiléia;104;1200104;1
AC;Bujari;138;1200138;2
AC;Capixaba;179;1200179;1
AC;Cruzeiro do Sul;203;1200203;2
AC;Epitaciolândia;252;1200252;2
AC;Feijó;302;1200302;1
AC;Jordão;328;1200328;2
AC;Mâncio Lima;336;1200336;1
AC;Manoel Urbano;344;1200344;2
AC;Marechal Thaumaturgo;351;1200351;2
AC;Plácido de Castro;385;1200385;2
AC;Porto Acre;807;1200807;1
AC;Porto Walter;393;1200393;2
AC;Rio Branco;401;1200401;2
AC;Rodrigues Alves;427;1200427;1
AC;Santa Rosa do Purus;435;1200435;2
AC;Sena Madureira;500;1200500;2
AC;Senador Guiomard;450;1200450;2
AC;Tarauacá;609;1200609;1
AC;Xapuri;708;1200708;3
AL;Água Branca;102;2700102;2
AL;Anadia;201;2700201;2
AL;Arapiraca;300;2700300;1
AL;Atalaia;409;2700409;2
AL;Barra de Santo Antônio;508;2700508;3
AL;Barra de São Miguel;607;2700607;3
AL;Batalha;706;2700706;2
AL;Belém;805;2700805;2
AL;Belo Monte;904;2700904;3
AL;Boca da Mata;1001;2701001;3
AL;Branquinha;1100;2701100;1
AL;Cacimbinhas;1209;2701209;2
AL;Cajueiro;1308;2701308;3
AL;Campestre;1357;2701357;2
AL;Campo Alegre;1407;2701407;3
AL;Campo Grande;1506;2701506;2
AL;Canapi;1605;2701605;2
AL;Capela;1704;2701704;2
AL;Carneiros;1803;2701803;2
AL;Chã Preta;1902;2701902;3
AL;Coité do Nóia;2009;2702009;2
AL;Colônia Leopoldina;2108;2702108;2
AL;Coqueiro Seco;2207;2702207;1
AL;Coruripe;2306;2702306;2
AL;Craíbas;2355;2702355;3
AL;Delmiro Gouveia;2405;2702405;3
AL;Dois Riachos;2504;2702504;2
AL;Estrela de Alagoas;2553;2702553;2
AL;Feira Grande;2603;2702603;2
AL;Feliz Deserto;2702;2702702;2
AL;Flexeiras;2801;2702801;2
AL;Girau do Ponciano;2900;2702900;2
AL;Ibateguara;3007;2703007;2
AL;Igaci;3106;2703106;3
AL;Igreja Nova;3205;2703205;2
AL;Inhapi;3304;2703304;2
AL;Jacaré dos Homens;3403;2703403;2
AL;Jacuípe;3502;2703502;2
AL;Japaratinga;3601;2703601;3
AL;Jaramataia;3700;2703700;3
AL;Jequiá da Praia;3759;2703759;2
AL;Joaquim Gomes;3809;2703809;2
AL;Jundiá;3908;2703908;3
AL;Junqueiro;4005;2704005;2
AL;Lagoa da Canoa;4104;2704104;2
AL;Limoeiro de Anadia;4203;2704203;3
AL;Maceió;4302;2704302;3
AL;Major Isidoro;4401;2704401;2
AL;Mar Vermelho;4906;2704906;2
AL;Maragogi;4500;2704500;2
AL;Maravilha;4609;2704609;2
AL;Marechal Deodoro;4708;2704708;2
AL;Maribondo;4807;2704807;1
AL;Mata Grande;5002;2705002;2
AL;Matriz de Camaragibe;5101;2705101;3
AL;Messias;5200;2705200;3
AL;Minador do Negrão;5309;2705309;2
AL;Monteirópolis;5408;2705408;2
AL;Murici;5507;2705507;2
AL;Novo Lino;5606;2705606;3
AL;Olho d'Água das Flores;5705;2705705;3
AL;Olho d'Água do Casado;5804;2705804;0
AL;Olho d'Água Grande;5903;2705903;3
AL;Olivença;6000;2706000;2
AL;Ouro Branco;6109;2706109;3
AL;Palestina;6208;2706208;3
AL;Palmeira dos Índios;6307;2706307;1
AL;Pão de Açúcar;6406;2706406;3
AL;Pariconha;6422;2706422;3
AL;Paripueira;6448;2706448;3
AL;Passo de Camaragibe;6505;2706505;3
AL;Paulo Jacinto;6604;2706604;3
AL;Penedo;6703;2706703;1
AL;Piaçabuçu;6802;2706802;2
AL;Pilar;6901;2706901;2
AL;Pindoba;7008;2707008;3
AL;Piranhas;7107;2707107;2
AL;Poço das Trincheiras;7206;2707206;3
AL;Porto Calvo;7305;2707305;3
AL;Porto de Pedras;7404;2707404;2
AL;Porto Real do Colégio;7503;2707503;2
AL;Quebrangulo;7602;2707602;2
AL;Rio Largo;7701;2707701;2
AL;Roteiro;7800;2707800;2
AL;Santa Luzia do Norte;7909;2707909;3
AL;Santana do Ipanema;8006;2708006;2
AL;Santana do Mundaú;8105;2708105;1
AL;São Brás;8204;2708204;3
AL;São José da Laje;8303;2708303;2
AL;São José da Tapera;8402;2708402;2
AL;São Luís do Quitunde;8501;2708501;2
AL;São Miguel dos Campos;8600;2708600;1
AL;São Miguel dos Milagres;8709;2708709;3
AL;São Sebastião;8808;2708808;3
AL;Satuba;8907;2708907;3
AL;Senador Rui Palmeira;8956;2708956;2
AL;Tanque d'Arca;9004;2709004;2
AL;Taquarana;9103;2709103;3
AL;Teotônio Vilela;9152;2709152;3
AL;Traipu;9202;2709202;3
AL;União dos Palmares;9301;2709301;2
AL;Viçosa;9400;2709400;2
AM;Alvarães;29;1300029;1
AM;Amaturá;60;1300060;1
AM;Anamã;86;1300086;1
AM;Anori;102;1300102;1
AM;Apuí;144;1300144;1
AM;Atalaia do Norte;201;1300201;1
AM;Autazes;300;1300300;1
AM;Barcelos;409;1300409;1
AM;Barreirinha;508;1300508;1
AM;Benjamin Constant;607;1300607;1
AM;Beruri;631;1300631;1
AM;Boa Vista do Ramos;680;1300680;1
AM;Boca do Acre;706;1300706;1
AM;Borba;805;1300805;1
AM;Caapiranga;839;1300839;1
AM;Canutama;904;1300904;1
AM;Carauari;1001;1301001;1
AM;Careiro;1100;1301100;1
AM;Careiro da Várzea;1159;1301159;1
AM;Coari;1209;1301209;1
AM;Codajás;1308;1301308;1
AM;Eirunepé;1407;1301407;1
AM;Envira;1506;1301506;1
AM;Fonte Boa;1605;1301605;1
AM;Guajará;1654;1301654;1
AM;Humaitá;1704;1301704;1
AM;Ipixuna;1803;1301803;1
AM;Iranduba;1852;1301852;1
AM;Itacoatiara;1902;1301902;1
AM;Itamarati;1951;1301951;1
AM;Itapiranga;2009;1302009;1
AM;Japurá;2108;1302108;1
AM;Juruá;2207;1302207;1
AM;Jutaí;2306;1302306;1
AM;Lábrea;2405;1302405;1
AM;Manacapuru;2504;1302504;1
AM;Manaquiri;2553;1302553;1
AM;Manaus;2603;1302603;1
AM;Manicoré;2702;1302702;1
AM;Maraã;2801;1302801;1
AM;Maués;2900;1302900;1
AM;Nhamundá;3007;1303007;1
AM;Nova Olinda do Norte;3106;1303106;1
AM;Novo Airão;3205;1303205;1
AM;Novo Aripuanã;3304;1303304;1
AM;Parintins;3403;1303403;1
AM;Pauini;3502;1303502;1
AM;Presidente Figueiredo;3536;1303536;1
AM;Rio Preto da Eva;3569;1303569;1
AM;Santa Isabel do Rio Negro;3601;1303601;1
AM;Santo Antônio do Içá;3700;1303700;1
AM;São Gabriel da Cachoeira;3809;1303809;0
AM;São Paulo de Olivença;3908;1303908;1
AM;São Sebastião do Uatumã;3957;1303957;1
AM;Silves;4005;1304005;1
AM;Tabatinga;4062;1304062;1
AM;Tapauá;4104;1304104;1
AM;Tefé;4203;1304203;1
AM;Tonantins;4237;1304237;1
AM;Uarini;4260;1304260;1
AM;Urucará;4302;1304302;1
AM;Urucurituba;4401;1304401;0
AP;Amapá;105;1600105;2
AP;Calçoene;204;1600204;2
AP;Cutias;212;1600212;2
AP;Ferreira Gomes;238;1600238;2
AP;Itaubal;253;1600253;2
AP;Laranjal do Jari;279;1600279;2
AP;Macapá;303;1600303;2
AP;Mazagão;402;1600402;2
AP;Oiapoque;501;1600501;2
AP;Pedra Branca do Amapari;154;1600154;2
AP;Porto Grande;535;1600535;2
AP;Pracuúba;550;1600550;2
AP;Santana;600;1600600;1
AP;Serra do Navio;55;1600055;2
AP;Tartarugalzinho;709;1600709;2
AP;Vitória do Jari;808;1600808;2
BA;Abaíra;108;2900108;1
BA;Abaré;207;2900207;0
BA;Acajutiba;306;2900306;1
BA;Adustina;355;2900355;3
BA;Água Fria;405;2900405;3
BA;Aiquara;603;2900603;3
BA;Alagoinhas;702;2900702;1
BA;Alcobaça;801;2900801;0
BA;Almadina;900;2900900;1
BA;Amargosa;1007;2901007;0
BA;Amélia Rodrigues;1106;2901106;1
BA;América Dourada;1155;2901155;1
BA;Anagé;1205;2901205;1
BA;Andaraí;1304;2901304;1
BA;Andorinha;1353;2901353;3
BA;Angical;1403;2901403;1
BA;Anguera;1502;2901502;1
BA;Antas;1601;2901601;3
BA;Antônio Cardoso;1700;2901700;0
BA;Antônio Gonçalves;1809;2901809;1
BA;Aporá;1908;2901908;1
BA;Apuarema;1957;2901957;1
BA;Araçás;2054;2902054;3
BA;Aracatu;2005;2902005;1
BA;Araci;2104;2902104;1
BA;Aramari;2203;2902203;3
BA;Arataca;2252;2902252;1
BA;Aratuípe;2302;2902302;1
BA;Aurelino Leal;2401;2902401;3
BA;Baianópolis;2500;2902500;3
BA;Baixa Grande;2609;2902609;3
BA;Banzaê;2658;2902658;0
BA;Barra;2708;2902708;0
BA;Barra da Estiva;2807;2902807;1
BA;Barra do Choça;2906;2902906;1
BA;Barra do Mendes;3003;2903003;3
BA;Barra do Rocha;3102;2903102;1
BA;Barreiras;3201;2903201;3
BA;Barro Alto;3235;2903235;3
BA;Barro Preto;3300;2903300;3
BA;Barrocas;3276;2903276;0
BA;Belmonte;3409;2903409;3
BA;Belo Campo;3508;2903508;1
BA;Biritinga;3607;2903607;1
BA;Boa Nova;3706;2903706;1
BA;Boa Vista do Tupim;3805;2903805;3
BA;Bom Jesus da Lapa;3904;2903904;1
BA;Bom Jesus da Serra;3953;2903953;1
BA;Boninal;4001;2904001;0
BA;Bonito;4050;2904050;1
BA;Boquira;4100;2904100;1
BA;Botuporã;4209;2904209;0
