WARNING 2025-10-29 19:20:57,221 <string> 1 140001305004808 Django warning
ERROR 2025-10-29 19:20:57,221 <string> 1 140001305004808 Django error
WARNING 2025-10-29 19:26:31,294 <string> 1 140228170222344 TEST: Django WARNING - should appear in console and file
ERROR 2025-10-29 19:26:31,294 <string> 1 140228170222344 TEST: Django ERROR - should appear in console and file
ERROR 2025-10-29 19:26:31,295 <string> 1 140228170222344 TEST: Request ERROR - simulated 404 or 500 error
WARNING 2025-11-10 15:09:14,940 basehttp 63 140090823957304 "GET /favicon.ico HTTP/1.1" 404 3182
WARNING 2025-11-12 21:22:15,508 basehttp 17 140528101378872 "GET /favicon.ico HTTP/1.1" 404 3182
WARNING 2025-11-12 21:33:18,725 basehttp 187 139949416815416 "GET /favicon.ico HTTP/1.1" 404 3182
WARNING 2025-11-12 21:38:49,982 basehttp 187 139949416815416 "GET /favicon.ico HTTP/1.1" 404 3182
WARNING 2025-11-13 19:29:20,107 basehttp 23 140460672805688 "GET /favicon.ico HTTP/1.1" 404 3182
WARNING 2025-11-13 20:25:49,706 basehttp 23 140460672805688 "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 3293
WARNING 2025-11-13 20:32:36,565 basehttp 11 139656055659320 "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 3293
WARNING 2025-11-13 20:53:13,136 basehttp 11 139917469723448 "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 3293
WARNING 2025-11-13 20:54:03,887 basehttp 11 139917469723448 "GET /cities/ HTTP/1.1" 403 135
WARNING 2025-11-13 20:54:03,914 basehttp 11 139917469723448 "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 3293
WARNING 2025-11-13 20:54:06,560 basehttp 11 139917469723448 "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 3293
WARNING 2025-11-13 20:54:06,578 basehttp 11 139917469723448 "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 3293
WARNING 2025-11-13 20:54:49,887 basehttp 11 139917469723448 "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 3293
WARNING 2025-11-13 20:54:51,625 basehttp 11 139917468662584 "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 3293
WARNING 2025-11-13 20:54:51,641 basehttp 11 139917468662584 "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 3293
WARNING 2025-11-13 20:54:58,932 basehttp 11 139917468662584 "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 3293
WARNING 2025-11-13 20:55:00,343 basehttp 11 139917468662584 "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 3293
WARNING 2025-11-13 20:55:00,358 basehttp 11 139917468662584 "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 3293
WARNING 2025-11-13 20:55:04,413 basehttp 11 139917468662584 "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 3293
WARNING 2025-11-13 20:55:06,278 basehttp 11 139917468662584 "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 3293
WARNING 2025-11-13 20:55:07,720 basehttp 11 139917468662584 "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 3293
WARNING 2025-11-13 23:46:05,351 basehttp 11 140097825778488 "GET /favicon.ico HTTP/1.1" 404 3182
WARNING 2025-11-13 23:49:33,063 basehttp 11 140097825778488 "GET /cities/ HTTP/1.1" 403 135
WARNING 2025-11-13 23:57:38,527 basehttp 11 140097825778488 "GET /cities/ HTTP/1.1" 403 135
WARNING 2025-11-14 00:02:13,446 basehttp 11 140097825778488 "GET /cities/ HTTP/1.1" 403 135
WARNING 2025-11-14 00:02:15,623 basehttp 11 140097825778488 "GET /cities/ HTTP/1.1" 403 135
WARNING 2025-11-14 00:14:27,395 basehttp 11 140097825778488 "GET /cities/ HTTP/1.1" 403 135
WARNING 2025-11-14 00:50:29,347 basehttp 11 140097825778488 "GET /cities/edit/16467/ HTTP/1.1" 403 135
